ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,UNIQUE,NESTING,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
NGA,NIGERIA,,BAYELSA,NG006,SOUTHERN IJAW,NG006007,1,True,164390,173353,337743,19568,21426,20896,19280,14618,12134,11179,10509,8431,7432,5204,4708,3460,2322,1757,750,716,20529,23030,22336,21286,17882,13168,10681,9362,8752,7185,5666,4350,3248,2355,1942,908,673,40097,44456,43232,40566,32500,25302,21860,19871,17183,14617,10870,9058,6708,4677,3699,1658,1389
NGA,NIGERIA,,BAYELSA,NG006,Yenegoa,NG006008,1,True,374195,402784,776979,44987,47010,46393,44302,35428,30667,26523,24529,18505,15895,10889,10118,6904,5863,2816,2172,1194,47508,50578,49029,48549,41186,33551,28178,24425,20819,17110,12957,9740,7496,5003,3415,2031,1209,92495,97588,95422,92851,76614,64218,54701,48954,39324,33005,23846,19858,14400,10866,6231,4203,2403
NGA,NIGERIA,,BENUE,NG007,ADO,NG007001,1,True,141688,142723,284411,27255,21023,17360,14935,11616,10169,8729,7108,6155,4484,3736,2535,2862,1755,1046,589,331,28117,22276,18347,15162,11113,9197,8297,6968,6042,4710,3904,2428,2508,1640,1094,574,346,55372,43299,35707,30097,22729,19366,17026,14076,12197,9194,7640,4963,5370,3395,2140,1163,677
NGA,NIGERIA,,BENUE,NG007,AGATU,NG007002,1,True,98916,101788,200704,19746,14809,11883,10103,8251,7282,6038,4934,4103,3006,2741,1405,1968,1021,693,607,326,20752,15848,12777,10516,7870,6649,6045,5282,4343,3351,2768,1522,1649,834,659,593,330,40498,30657,24660,20619,16121,13931,12083,10216,8446,6357,5509,2927,3617,1855,1352,1200,656
NGA,NIGERIA,,BENUE,NG007,APA,NG007003,1,True,83391,84640,168031,16434,12365,10117,8662,7050,6110,5053,4063,3403,2545,2223,1512,1550,843,795,371,295,17121,12948,10617,8935,6789,5710,4981,4317,3517,2759,2211,1417,1376,693,588,360,301,33555,25313,20734,17597,13839,11820,10034,8380,6920,5304,4434,2929,2926,1536,1383,731,596
NGA,NIGERIA,,BENUE,NG007,BURUKU,NG007004,1,True,141213,142862,284075,26202,21763,18136,15009,11888,9758,8146,6531,5668,4120,3718,2581,2657,1786,1622,871,757,27533,22517,18823,15505,11439,9487,8328,7024,5541,4471,3400,2739,1834,1431,1220,904,666,53735,44280,36959,30514,23327,19245,16474,13555,11209,8591,7118,5320,4491,3217,2842,1775,1423
NGA,NIGERIA,,BENUE,NG007,GBOKO,NG007005,1,True,224876,225062,449938,34473,33198,32114,27070,20272,14678,12425,10158,9401,6744,5849,4920,4695,3408,2624,1653,1194,35209,32709,30580,27040,21093,16631,13573,11645,9194,7964,5546,4608,3287,2312,1734,1219,718,69682,65907,62694,54110,41365,31309,25998,21803,18595,14708,11395,9528,7982,5720,4358,2872,1912
NGA,NIGERIA,,BENUE,NG007,GUMA,NG007006,1,True,140645,141705,282350,27701,21387,17069,14734,11835,10215,8324,6655,5734,4148,3365,2964,2518,1575,1074,735,612,28807,22355,17806,15004,11142,9514,8322,7048,5704,4412,3595,2380,2035,1306,1082,650,543,56508,43742,34875,29738,22977,19729,16646,13703,11438,8560,6960,5344,4553,2881,2156,1385,1155
NGA,NIGERIA,,BENUE,NG007,GWER EAST,NG007007,1,True,104052,106743,210795,19187,15603,12989,11810,9444,6833,5879,4573,4413,2923,2865,1747,2237,1151,1189,667,542,20378,16200,13747,11813,8988,7333,6277,5248,4304,3422,2620,1922,1634,1006,871,547,433,39565,31803,26736,23623,18432,14166,12156,9821,8717,6345,5485,3669,3871,2157,2060,1214,975
NGA,NIGERIA,,BENUE,NG007,GWER WEST,NG007008,1,True,86385,88383,174768,17249,12971,10433,8849,7180,6338,5248,4186,3566,2597,2209,1556,1641,862,795,414,291,18132,13645,11163,9201,6909,5882,5202,4548,3694,2822,2372,1396,1408,670,670,359,310,35381,26616,21596,18050,14089,12220,10450,8734,7260,5419,4581,2952,3049,1532,1465,773,601
NGA,NIGERIA,,BENUE,NG007,KATSINA-ALA,NG007009,1,True,164261,168289,332550,29005,25580,21251,18090,14700,10844,9297,7119,6698,4539,4229,2937,3363,2190,1992,1345,1082,31323,26179,21335,19006,14929,11675,9867,7876,6405,5234,4112,3042,2268,1636,1445,1118,839,60328,51759,42586,37096,29629,22519,19164,14995,13103,9773,8341,5979,5631,3826,3437,2463,1921
NGA,NIGERIA,,BENUE,NG007,KONSHISHA,NG007010,1,True,152691,154317,307008,27203,23860,19908,16299,12864,9531,8481,6145,6229,4295,4082,3233,3620,2479,2133,1390,939,28062,24502,20556,17024,12249,9967,8872,7538,6101,4817,3765,3006,2443,1819,1632,1201,763,55265,48362,40464,33323,25113,19498,17353,13683,12330,9112,7847,6239,6063,4298,3765,2591,1702
NGA,NIGERIA,,BENUE,NG007,KWANDE,NG007011,1,True,148174,150692,298866,26102,23001,19571,16003,12391,9910,8408,6495,6122,4287,3992,2754,3359,2156,1757,998,868,27231,23275,19714,16826,12351,10232,9146,7472,6166,4886,3722,2746,2321,1688,1326,900,690,53333,46276,39285,32829,24742,20142,17554,13967,12288,9173,7714,5500,5680,3844,3083,1898,1558
NGA,NIGERIA,,BENUE,NG007,LOGO,NG007012,1,True,122938,127167,250105,23027,18855,15559,13141,10562,8831,7411,5820,5011,3511,3097,2119,2148,1363,1198,748,537,24216,19863,16403,13846,10327,8676,7749,6533,5255,3937,3277,2024,1724,1044,1163,646,484,47243,38718,31962,26987,20889,17507,15160,12353,10266,7448,6374,4143,3872,2407,2361,1394,1021
NGA,NIGERIA,,BENUE,NG007,MAKURDI,NG007013,1,True,158294,169652,327946,23584,21763,22979,20427,16524,11759,9445,8290,6661,4920,3502,2557,2101,1438,1119,678,547,24751,21456,21242,20123,18914,14947,10909,9654,7347,6890,4496,3892,1952,1435,774,515,355,48335,43219,44221,40550,35438,26706,20354,17944,14008,11810,7998,6449,4053,2873,1893,1193,902
NGA,NIGERIA,,BENUE,NG007,OBI,NG007014,1,True,67144,66856,134000,12371,10464,7804,7015,5445,4865,4471,3617,3173,2023,1749,1160,1339,751,496,253,148,12975,11061,8581,7281,5060,4268,3811,3454,2727,2051,1724,1059,1057,718,522,314,193,25346,21525,16385,14296,10505,9133,8282,7071,5900,4074,3473,2219,2396,1469,1018,567,341
