ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,UNIQUE,NESTING,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
NGA,NIGERIA,,DELTA,NG010,WARRI NORTH,NG010023,1,True,86003,91741,177744,10103,10801,11103,10020,7269,6310,5752,5991,4510,4102,2818,2600,1605,1178,841,670,330,10878,11975,12556,11755,8723,6577,5434,4918,4601,4027,3070,2300,1776,1273,890,629,359,20981,22776,23659,21775,15992,12887,11186,10909,9111,8129,5888,4900,3381,2451,1731,1299,689
NGA,NIGERIA,,DELTA,NG010,WARRI SOUTH,NG010024,1,True,242477,251440,493917,28322,28048,30578,27934,23521,19670,16788,15676,12003,11085,7714,7817,4117,4080,2275,1886,963,29631,29525,30550,29914,26317,21527,17171,15703,12431,10900,7584,7652,4472,3948,2014,1478,623,57953,57573,61128,57848,49838,41197,33959,31379,24434,21985,15298,15469,8589,8028,4289,3364,1586
NGA,NIGERIA,,DELTA,NG010,WARRI SOUTH WEST,NG010025,1,True,88452,96060,184512,10722,11220,11350,9962,7174,6419,5802,5933,4625,4262,3047,2806,1555,1761,750,696,368,11471,12123,12122,11253,8922,7354,6287,6027,5368,4536,3394,2671,1568,1125,796,517,526,22193,23343,23472,21215,16096,13773,12089,11960,9993,8798,6441,5477,3123,2886,1546,1213,894
NGA,NIGERIA,,EBONYI,NG011,ABAKALIKI,NG011001,1,True,84652,80065,164717,12804,11597,11660,10929,7773,6438,5114,4565,3542,2927,2039,1846,1282,1097,516,321,202,12729,11525,10547,9028,7154,5642,4719,4497,3557,3299,2265,1733,1227,997,496,443,207,25533,23122,22207,19957,14927,12080,9833,9062,7099,6226,4304,3579,2509,2094,1012,764,409
NGA,NIGERIA,,EBONYI,NG011,AFIKPO NORTH,NG011002,1,True,96826,101893,198719,10338,10699,11974,11998,9378,6954,5803,5741,4740,4495,3259,3607,2431,2361,1428,1048,572,11318,11471,13578,15910,12540,7433,5182,4617,4196,3935,2859,2971,1596,1818,1075,956,438,21656,22170,25552,27908,21918,14387,10985,10358,8936,8430,6118,6578,4027,4179,2503,2004,1010
NGA,NIGERIA,,EBONYI,NG011,AFIKPO SOUTH,NG011003,1,True,155315,154514,309829,19656,18273,19755,16967,12427,10524,9675,10196,8260,7270,5567,4850,4590,3828,2167,761,549,19778,19820,20488,18456,14995,10610,8483,8115,7521,6477,5296,4643,3317,2324,1737,1896,558,39434,38093,40243,35423,27422,21134,18158,18311,15781,13747,10863,9493,7907,6152,3904,2657,1107
NGA,NIGERIA,,EBONYI,NG011,EBONYI,NG011004,1,True,73426,66577,140003,12334,10639,9028,8250,6549,5482,4606,3959,3311,2655,1799,1647,1150,900,483,407,227,12562,10336,8206,6641,5853,4267,3666,3305,2967,2629,2042,1279,1098,816,418,315,177,24896,20975,17234,14891,12402,9749,8272,7264,6278,5284,3841,2926,2248,1716,901,722,404
NGA,NIGERIA,,EBONYI,NG011,EZZA NORTH,NG011005,1,True,94857,87163,182020,13114,12946,12370,11025,7292,6273,5944,5629,4787,4067,3024,2607,2085,1672,1002,643,377,13226,13214,12445,10246,7234,5196,4372,4191,4033,3417,2735,2013,1760,1476,735,536,334,26340,26160,24815,21271,14526,11469,10316,9820,8820,7484,5759,4620,3845,3148,1737,1179,711
NGA,NIGERIA,,EBONYI,NG011,EZZA SOUTH,NG011006,1,True,84151,82275,166426,10297,10601,11174,10229,7064,5810,5064,5114,4202,3927,2800,2512,1795,1589,946,663,364,10894,11066,11577,10389,7648,5526,4449,4072,3817,3405,2862,1876,1770,1438,754,445,287,21191,21667,22751,20618,14712,11336,9513,9186,8019,7332,5662,4388,3565,3027,1700,1108,651
NGA,NIGERIA,,EBONYI,NG011,IKWO,NG011007,1,True,139973,120940,260913,22773,21235,17435,16465,10689,9288,8765,7485,7128,5415,3867,2686,2766,1707,1105,684,480,22326,20634,16623,12812,8653,6800,6237,5589,5363,4216,3446,2280,2291,1547,1007,683,433,45099,41869,34058,29277,19342,16088,15002,13074,12491,9631,7313,4966,5057,3254,2112,1367,913
NGA,NIGERIA,,EBONYI,NG011,ISHIELU,NG011008,1,True,83369,74359,157728,12198,10117,9712,9449,6164,4892,4376,4709,4575,5467,2990,2582,2213,1584,1063,787,491,12540,8960,10185,9042,5858,4392,4373,3354,3416,3069,2353,2100,1663,1166,1045,521,322,24738,19077,19897,18491,12022,9284,8749,8063,7991,8536,5343,4682,3876,2750,2108,1308,813
NGA,NIGERIA,,EBONYI,NG011,IVO,NG011009,1,True,103251,107477,210728,11457,12356,13364,12618,9254,7603,6882,6620,5311,4833,3417,3095,2229,1954,1043,773,442,12141,13193,14160,13719,10852,7926,6535,5729,5475,4773,3524,3038,2468,1719,1090,721,414,23598,25549,27524,26337,20106,15529,13417,12349,10786,9606,6941,6133,4697,3673,2133,1494,856
NGA,NIGERIA,,EBONYI,NG011,IZZI,NG011010,1,True,158380,144226,302606,27522,24914,20140,17603,11804,11083,9907,8551,7029,5756,4261,3101,2681,1937,1060,581,450,28026,24322,18943,14891,10423,8352,7720,6944,6262,5051,4158,2726,2520,1807,1009,649,423,55548,49236,39083,32494,22227,19435,17627,15495,13291,10807,8419,5827,5201,3744,2069,1230,873
NGA,NIGERIA,,EBONYI,NG011,OHAOZARA,NG011011,1,True,127688,129842,257530,14914,15409,16391,15049,10674,8998,8205,8095,6695,6184,4658,3659,3035,2564,1446,1172,540,16092,16567,17534,16744,12387,9041,7321,6614,6329,5547,4366,3544,2592,2241,1532,929,462,31006,31976,33925,31793,23061,18039,15526,14709,13024,11731,9024,7203,5627,4805,2978,2101,1002
NGA,NIGERIA,,EBONYI,NG011,OHAUKWU,NG011012,1,True,102056,94563,196619,14169,13652,13587,12939,8249,6627,6068,5643,4957,4160,3048,2807,2379,1724,993,614,440,14527,13552,13464,11860,8190,5748,4807,4479,4150,3650,3021,2148,1823,1370,850,559,365,28696,27204,27051,24799,16439,12375,10875,10122,9107,7810,6069,4955,4202,3094,1843,1173,805
NGA,NIGERIA,,EBONYI,NG011,ONICHA,NG011013,1,True,219955,215340,435295,26314,27272,27964,25479,18202,14943,13626,13879,11615,10520,7433,7489,5318,4669,2699,1522,1011,27674,29094,29284,26933,20296,14552,11720,10832,10102,8979,7182,5884,4416,3757,2107,1585,943,53988,56366,57248,52412,38498,29495,25346,24711,21717,19499,14615,13373,9734,8426,4806,3107,1954
NGA,NIGERIA,,EDO,NG012,AKOKO-EDO,NG012001,1,True,239487,242059,481546,28986,29848,30034,26536,19850,17147,15565,15584,12420,11454,8017,7902,5252,5076,2768,2061,987,30744,32022,32230,29579,22903,17160,13956,12915,11907,10466,8397,6154,4674,3931,2527,1619,875,59730,61870,62264,56115,42753,34307,29521,28499,24327,21920,16414,14056,9926,9007,5295,3680,1862
NGA,NIGERIA,,EDO,NG012,EGOR,NG012002,1,True,201492,200725,402217,23709,21979,25017,22946,22259,17001,12678,11770,8970,8751,6415,7454,3648,3765,2108,1732,1290,25150,21735,22603,21910,26041,21645,14151,11956,7532,7915,5146,6521,2830,2995,1264,926,405,48859,43714,47620,44856,48300,38646,26829,23726,16502,16666,11561,13975,6478,6760,3372,2658,1695
NGA,NIGERIA,,EDO,NG012,ESAN CENTRAL,NG012003,1,True,73020,73093,146113,8526,8701,9133,8566,6240,4988,4361,4312,3584,3413,2539,2825,1591,1783,1076,907,475,8956,9351,9557,9451,7284,5369,4198,3703,3276,3080,2189,2228,1204,1460,797,636,354,17482,18052,18690,18017,13524,10357,8559,8015,6860,6493,4728,5053,2795,3243,1873,1543,829
NGA,NIGERIA,,EDO,NG012,ESAN NORTH EAST,NG012004,1,True,72833,73446,146279,8454,8145,9244,9005,6935,4933,4011,3806,3385,3358,2579,2681,1882,1781,1141,1013,480,8863,8433,9883,10011,8454,6063,4171,3457,2801,2771,2133,2093,1392,1176,804,626,315,17317,16578,19127,19016,15389,10996,8182,7263,6186,6129,4712,4774,3274,2957,1945,1639,795
NGA,NIGERIA,,EDO,NG012,ESAN SOUTH EAST,NG012005,1,True,142200,145746,287946,17011,17787,17955,16062,12030,10042,9064,8912,7310,6787,4876,4599,2994,2954,1847,1254,716,18158,19171,19129,17963,14350,10494,8456,7425,7031,6240,4866,4076,2748,2404,1620,1019,596,35169,36958,37084,34025,26380,20536,17520,16337,14341,13027,9742,8675,5742,5358,3467,2273,1312
NGA,NIGERIA,,EDO,NG012,ESAN WEST,NG012006,1,True,77582,81060,158642,8450,8063,8698,8977,9628,6286,4388,4319,3561,3474,2508,2920,1905,2013,1000,919,473,8827,8739,9027,9731,11947,8870,4891,3912,3162,2982,2266,2216,1290,1452,767,650,331,17277,16802,17725,18708,21575,15156,9279,8231,6723,6456,4774,5136,3195,3465,1767,1569,804
NGA,NIGERIA,,EDO,NG012,ETSAKO CENTRAL,NG012007,1,True,94348,96327,190675,11522,11782,11604,10520,8033,6843,6069,6113,4868,4501,3407,2711,1985,1787,1145,985,473,12227,12624,12878,11771,9184,7012,5521,5114,4668,4064,3094,2663,1527,1801,887,917,375,23749,24406,24482,22291,17217,13855,11590,11227,9536,8565,6501,5374,3512,3588,2032,1902,848
NGA,NIGERIA,,EDO,NG012,ETSAKO EAST,NG012008,1,True,69987,66830,136817,8772,9044,8856,7921,5500,4429,4276,3894,3615,3133,2620,2132,1868,1598,1059,790,480,9200,9547,9299,8777,6328,4287,3450,3055,2742,2517,1895,1779,1207,1167,742,528,310,17972,18591,18155,16698,11828,8716,7726,6949,6357,5650,4515,3911,3075,2765,1801,1318,790
NGA,NIGERIA,,EDO,NG012,ETSAKO WEST,NG012009,1,True,198491,204093,402584,23234,23391,24379,23148,20128,14857,12226,11726,9707,9083,6473,6680,4040,4085,2405,1779,1150,24703,25014,25469,25269,23637,17345,12029,10521,9123,8181,5908,6046,3505,3233,1884,1417,809,47937,48405,49848,48417,43765,32202,24255,22247,18830,17264,12381,12726,7545,7318,4289,3196,1959
NGA,NIGERIA,,EDO,NG012,IGUEBEN,NG012010,1,True,49238,48330,97568,5584,5736,6160,5693,4034,3312,2956,2862,2404,2398,1727,1975,1299,1292,824,644,338,5839,6048,6486,6183,5001,3496,2720,2445,2232,1975,1449,1456,809,822,585,554,230,11423,11784,12646,11876,9035,6808,5676,5307,4636,4373,3176,3431,2108,2114,1409,1198,568
NGA,NIGERIA,,EDO,NG012,IKPOBA-OKHA,NG012011,1,True,220592,219202,439794,27532,25532,28278,25391,22137,17589,13987,13184,10006,10001,6644,7416,3651,3825,2203,1809,1407,28965,25728,26830,25099,24637,20211,14168,12427,8971,8944,6314,7372,3489,3134,1390,1011,512,56497,51260,55108,50490,46774,37800,28155,25611,18977,18945,12958,14788,7140,6959,3593,2820,1919
NGA,NIGERIA,,EDO,NG012,OREDO,NG012012,1,True,218384,224286,442670,24984,22536,25651,23865,23990,19515,15076,13610,10091,9502,6630,7979,4095,4530,2713,2239,1378,26365,22152,23180,23273,27332,25004,18537,14922,10192,9759,6212,6992,3176,3408,1710,1470,602,51349,44688,48831,47138,51322,44519,33613,28532,20283,19261,12842,14971,7271,7938,4423,3709,1980
NGA,NIGERIA,,EDO,NG012,ORHIONMWON,NG012013,1,True,100523,99556,200079,11788,11780,12405,11152,8072,6506,6225,5969,5101,4774,3632,4187,2713,2542,1721,1204,752,11970,12380,13109,12440,9925,7314,5760,5181,4508,4124,3039,3206,1875,1969,1208,992,556,23758,24160,25514,23592,17997,13820,11985,11150,9609,8898,6671,7393,4588,4511,2929,2196,1308
NGA,NIGERIA,,EDO,NG012,OVIA NORTH EAST,NG012014,1,True,83032,89762,172794,10241,9633,9320,9741,9907,6449,5088,4733,3800,3562,2592,2650,1522,1580,955,746,513,10780,9724,9588,9774,11994,9377,6138,5177,4039,3672,2432,2616,1445,1481,648,519,358,21021,19357,18908,19515,21901,15826,11226,9910,7839,7234,5024,5266,2967,3061,1603,1265,871
NGA,NIGERIA,,EDO,NG012,OVIA SOUTH WEST,NG012015,1,True,98149,107681,205830,13894,13016,11979,9917,8384,7823,6739,6244,4778,4044,2974,2730,1908,1489,1060,684,486,14634,13655,12749,11784,11008,8796,7446,6724,5485,4506,3194,2629,1878,1311,902,632,348,28528,26671,24728,21701,19392,16619,14185,12968,10263,8550,6168,5359,3786,2800,1962,1316,834
NGA,NIGERIA,,EDO,NG012,OWAN EAST,NG012016,1,True,112509,116593,229102,13822,14287,14346,12859,9594,8028,7173,6921,5594,5150,3858,3506,2381,1865,1485,1022,618,14935,15821,15613,14600,11310,8487,6650,6014,5353,4634,3578,3069,2053,2012,1140,875,449,28757,30108,29959,27459,20904,16515,13823,12935,10947,9784,7436,6575,4434,3877,2625,1897,1067
NGA,NIGERIA,,EDO,NG012,OWAN WEST,NG012017,1,True,59559,61983,121542,7062,7252,7150,6698,5340,4296,3695,3422,2868,2680,1972,2113,1420,1512,925,762,392,7620,7801,7697,7701,6567,5056,3935,3255,2760,2515,1780,1669,1087,1060,653,583,244,14682,15053,14847,14399,11907,9352,7630,6677,5628,5195,3752,3782,2507,2572,1578,1345,636
NGA,NIGERIA,,EDO,NG012,UHUNMWONDE,NG012018,1,True,62920,67952,130872,8185,7413,7586,6307,4896,4086,3865,3871,3214,2988,2245,2496,1752,1687,1101,731,497,8493,7946,7892,7463,6788,5751,4699,3960,3171,3027,2098,2312,1202,1427,738,616,369,16678,15359,15478,13770,11684,9837,8564,7831,6385,6015,4343,4808,2954,3114,1839,1347,866
NGA,NIGERIA,,EKITI,NG013,Ado Ekiti,NG013001,1,True,262638,286156,548794,25721,27692,33659,34384,35473,21576,15449,15038,11930,11187,7896,7789,4846,4552,2480,1712,1254,27362,29291,34308,37645,46363,29368,16917,14084,12328,10674,8031,6988,4668,3990,2255,1161,723,53083,56983,67967,72029,81836,50944,32366,29122,24258,21861,15927,14777,9514,8542,4735,2873,1977
NGA,NIGERIA,,EKITI,NG013,EFON,NG013003,1,True,46809,45653,92462,5283,5734,6862,5515,3697,3212,2814,2905,2095,2082,1324,1880,1134,1311,352,494,115,5405,6073,6490,5643,4283,3282,2630,2439,2241,1951,1545,1209,829,716,381,316,220,10688,11807,13352,11158,7980,6494,5444,5344,4336,4033,2869,3089,1963,2027,733,810,335
NGA,NIGERIA,,EKITI,NG013,EKITI EAST,NG013004,1,True,128326,131292,259618,14907,15694,16498,14690,10870,9249,8309,8217,6705,6433,4802,3927,3539,1571,1611,628,676,15802,16607,17460,16596,12630,9351,7609,6967,6422,5668,4332,3947,2934,2522,1386,595,464,30709,32301,33958,31286,23500,18600,15918,15184,13127,12101,9134,7874,6473,4093,2997,1223,1140
NGA,NIGERIA,,EKITI,NG013,EKITI SOUTH WEST,NG013005,1,True,84455,85089,169544,9275,10392,11137,9710,7061,5992,5286,5536,4391,4140,2875,3102,2187,1772,698,545,356,9661,11046,11780,10666,8303,6174,4977,4458,4255,3705,2932,2302,1764,1227,988,514,337,18936,21438,22917,20376,15364,12166,10263,9994,8646,7845,5807,5404,3951,2999,1686,1059,693
NGA,NIGERIA,,EKITI,NG013,EKITI WEST,NG013006,1,True,94166,96290,190456,10580,11711,12110,10729,7793,6742,6020,6348,4781,4614,3289,3197,2450,1696,1030,738,338,11364,12324,12950,12101,9238,6937,5594,5107,4799,4176,3472,2566,2261,1689,1007,416,289,21944,24035,25060,22830,17031,13679,11614,11455,9580,8790,6761,5763,4711,3385,2037,1154,627
NGA,NIGERIA,,EKITI,NG013,EMURE,NG013007,1,True,60648,61173,121821,5584,7052,8154,7951,5344,4151,3531,3956,3022,3403,2113,2245,1266,1868,414,376,218,5647,7096,8593,8503,6474,4692,3575,3017,3068,2530,2293,1687,1492,1061,748,474,223,11231,14148,16747,16454,11818,8843,7106,6973,6090,5933,4406,3932,2758,2929,1162,850,441
NGA,NIGERIA,,EKITI,NG013,Aiyekire (Gbonyin),NG013002,1,True,137062,140677,277739,16159,18028,18319,15985,11165,10117,8831,8343,6372,5912,4604,5254,3138,1769,1082,1525,459,17082,18742,20009,17559,12824,8952,8691,6904,7102,6129,5062,2988,2808,2710,2005,661,449,33241,36770,38328,33544,23989,19069,17522,15247,13474,12041,9666,8242,5946,4479,3087,2186,908
NGA,NIGERIA,,EKITI,NG013,IDO-OSI,NG013008,1,True,111681,114596,226277,12576,13146,17431,14051,9050,7606,6763,6702,5497,5163,3434,3221,2410,2134,1081,919,497,13417,13960,17793,16719,10622,7818,6216,5686,5231,4628,3819,2652,2024,1531,1145,887,448,25993,27106,35224,30770,19672,15424,12979,12388,10728,9791,7253,5873,4434,3665,2226,1806,945
NGA,NIGERIA,,EKITI,NG013,IJERO,NG013009,1,True,223783,225433,449216,25888,27407,27880,24786,18829,16072,14324,14280,11708,10743,6473,8635,4954,7703,2614,822,665,27213,29125,29575,27249,22234,16498,13118,12071,11263,9356,8110,6091,5231,3562,2780,1254,703,53101,56532,57455,52035,41063,32570,27442,26351,22971,20099,14583,14726,10185,11265,5394,2076,1368
NGA,NIGERIA,,EKITI,NG013,IKERE,NG013010,1,True,173525,154070,327595,15893,17505,22130,29400,30841,12016,8616,8225,6618,6004,4294,4098,2559,2185,1305,1096,740,16261,18632,22720,21841,21357,12125,8060,6944,6367,5421,4476,3056,2595,1690,1217,796,512,32154,36137,44850,51241,52198,24141,16676,15169,12985,11425,8770,7154,5154,3875,2522,1892,1252
NGA,NIGERIA,,EKITI,NG013,IKOLE,NG013011,1,True,104043,107271,211314,11452,13631,14058,12012,8629,7275,6445,6624,5281,5034,3511,3495,2692,1870,860,682,492,12099,14322,15218,13743,10273,7617,6060,5399,5271,4535,3772,2697,2080,2031,1057,706,391,23551,27953,29276,25755,18902,14892,12505,12023,10552,9569,7283,6192,4772,3901,1917,1388,883
NGA,NIGERIA,,EKITI,NG013,Ilejemeji,NG013012,1,True,23992,24044,48036,2788,3003,3161,2610,1873,1723,1490,1534,1193,1189,724,959,431,683,213,337,81,2996,3282,3298,2879,2157,1728,1445,1302,1096,982,886,601,536,308,268,189,91,5784,6285,6459,5489,4030,3451,2935,2836,2289,2171,1610,1560,967,991,481,526,172
NGA,NIGERIA,,EKITI,NG013,IREPODUN/IFELODUN,NG013013,1,True,67733,68684,136417,7494,8341,9378,8335,5943,4763,4150,4192,3380,3146,2237,2231,1287,1276,743,465,372,7885,8846,9461,8945,7116,5056,3859,3480,3243,2888,2253,1794,1325,1110,737,477,209,15379,17187,18839,17280,13059,9819,8009,7672,6623,6034,4490,4025,2612,2386,1480,942,581
NGA,NIGERIA,,EKITI,NG013,ISE/ORUN,NG013014,1,True,72997,74270,147267,8538,9287,9502,8434,6157,5219,4644,4681,3711,3441,2396,2420,1771,1141,944,403,308,9027,9949,10040,9342,7334,5355,4294,3867,3626,3166,2627,1639,1776,860,787,345,236,17565,19236,19542,17776,13491,10574,8938,8548,7337,6607,5023,4059,3547,2001,1731,748,544
NGA,NIGERIA,,EKITI,NG013,MOBA,NG013015,1,True,77236,83476,160712,8501,9624,10948,10128,6704,5049,4471,4715,4311,3662,2414,2882,1687,1343,391,255,151,9140,10312,12122,12670,10378,4834,4230,3701,3552,3162,2242,2072,2306,1583,786,243,143,17641,19936,23070,22798,17082,9883,8701,8416,7863,6824,4656,4954,3993,2926,1177,498,294
NGA,NIGERIA,,EKITI,NG013,OYE,NG013016,1,True,71268,72416,143684,8236,8757,9293,8338,5897,5021,4540,4528,3566,3463,2553,2307,1714,1291,793,698,273,8670,9350,9857,9376,6885,5151,4120,3775,3524,3062,2470,1989,1397,1123,779,622,266,16906,18107,19150,17714,12782,10172,8660,8303,7090,6525,5023,4296,3111,2414,1572,1320,539
NGA,NIGERIA,,ENUGU,NG014,ANINRI,NG014001,1,True,88551,81963,170514,9877,10195,11160,10925,7081,5544,5115,5251,4676,4546,3387,3445,2535,2118,1321,909,466,10148,10780,11305,10515,7711,5252,4040,3673,3598,3393,2823,2559,2058,1874,1115,731,388,20025,20975,22465,21440,14792,10796,9155,8924,8274,7939,6210,6004,4593,3992,2436,1640,854
NGA,NIGERIA,,ENUGU,NG014,AWGU,NG014002,1,True,128356,118602,246958,13988,12749,14513,13595,10419,7948,7904,8332,7087,7755,5641,5638,4082,4421,1625,1884,775,13612,12971,15897,14695,12260,7893,6282,5825,5588,6121,4259,3943,2726,3000,2044,942,544,27600,25720,30410,28290,22679,15841,14186,14157,12675,13876,9900,9581,6808,7421,3669,2826,1319
NGA,NIGERIA,,ENUGU,NG014,ENUGU EAST,NG014003,1,True,200908,182014,382922,24750,21281,26875,25816,21370,15057,12982,11987,9315,8454,6112,6341,3805,3087,1774,1254,648,23176,20854,22803,20701,19063,13896,10359,10205,8936,9600,6087,6352,3420,3703,1470,1014,375,47926,42135,49678,46517,40433,28953,23341,22192,18251,18054,12199,12693,7225,6790,3244,2268,1023
NGA,NIGERIA,,ENUGU,NG014,ENUGU NORTH,NG014004,1,True,168490,166102,334592,16575,15282,21396,21509,25271,15711,10242,9683,7694,7058,5081,4856,2706,2685,1352,924,465,17772,14842,17395,17399,24169,18150,10641,9206,7909,8315,5915,6293,2827,2801,1268,880,320,34347,30124,38791,38908,49440,33861,20883,18889,15603,15373,10996,11149,5533,5486,2620,1804,785
NGA,NIGERIA,,ENUGU,NG014,ENUGU SOUTH,NG014005,1,True,130872,118552,249424,15023,13540,17705,16692,14570,10448,7996,7791,6204,5814,3827,3997,2283,2231,1237,1028,486,14432,12766,14047,12729,13935,10122,7181,6497,6258,6330,4143,4166,1957,2126,967,638,258,29455,26306,31752,29421,28505,20570,15177,14288,12462,12144,7970,8163,4240,4357,2204,1666,744
NGA,NIGERIA,,ENUGU,NG014,EZEAGU,NG014006,1,True,114905,110065,224970,11882,11941,13682,13584,9663,7817,7167,6898,6216,5864,4707,4875,3490,3225,1960,1245,689,11886,12625,14307,13836,10257,7817,6031,5533,5427,4915,4156,4001,3089,2601,1794,1166,624,23768,24566,27989,27420,19920,15634,13198,12431,11643,10779,8863,8876,6579,5826,3754,2411,1313
NGA,NIGERIA,,ENUGU,NG014,Igbo-Etiti,NG014007,1,True,135759,137557,273316,15669,16548,17463,15784,11571,9706,8854,8772,7096,6445,4808,4066,3332,2618,1499,1031,497,16508,17632,18376,17500,13241,9637,7739,7123,6708,6035,4935,3657,3082,2529,1570,828,457,32177,34180,35839,33284,24812,19343,16593,15895,13804,12480,9743,7723,6414,5147,3069,1859,954
NGA,NIGERIA,,ENUGU,NG014,Igbo-Eze North,NG014008,1,True,215992,202910,418902,25900,26468,27867,25774,18155,14461,13321,13167,11527,10534,7516,6741,5437,3998,2635,1579,912,26859,27960,28583,25058,18258,13007,10549,9785,9295,8499,6822,5766,4468,3543,2176,1535,747,52759,54428,56450,50832,36413,27468,23870,22952,20822,19033,14338,12507,9905,7541,4811,3114,1659
NGA,NIGERIA,,ENUGU,NG014,Igbo-Eze South,NG014009,1,True,127614,122404,250018,14682,15124,16078,14885,11120,8882,8125,7815,6856,6231,4572,4052,3340,2812,1696,859,485,15176,15894,16401,15167,11756,8523,6699,6187,5941,5223,4287,3505,2846,2118,1429,755,497,29858,31018,32479,30052,22876,17405,14824,14002,12797,11454,8859,7557,6186,4930,3125,1614,982
NGA,NIGERIA,,ENUGU,NG014,Isi-Uzo,NG014010,1,True,110575,104093,214668,11972,12739,13148,13322,10746,7665,6608,6743,5907,5545,4075,3986,2793,2604,1459,847,416,12999,13143,13761,13284,9910,6755,5379,5003,4723,4530,3802,3215,2633,2402,1412,768,374,24971,25882,26909,26606,20656,14420,11987,11746,10630,10075,7877,7201,5426,5006,2871,1615,790
NGA,NIGERIA,,ENUGU,NG014,NKANU EAST,NG014011,1,True,99593,92793,192386,10859,11070,12038,11438,7704,6280,5916,5960,5567,5312,4264,4041,3130,2823,1620,1006,565,11037,11568,12103,11178,8240,5878,4696,4357,4486,4165,3445,3367,2731,2588,1567,949,438,21896,22638,24141,22616,15944,12158,10612,10317,10053,9477,7709,7408,5861,5411,3187,1955,1003
NGA,NIGERIA,,ENUGU,NG014,NKANU WEST,NG014012,1,True,94463,90150,184613,8921,9552,11816,11763,8333,6554,5614,5618,4999,5032,3761,3819,2804,2817,1500,1014,546,9161,9792,11803,11351,9123,6620,4844,4390,4268,4177,3308,3309,2402,2566,1517,1057,462,18082,19344,23619,23114,17456,13174,10458,10008,9267,9209,7069,7128,5206,5383,3017,2071,1008
NGA,NIGERIA,,ENUGU,NG014,Nsukka,NG014013,1,True,196493,182223,378716,20530,21127,25057,26403,21417,13847,11510,10697,9705,8843,7071,6350,4972,4038,2619,1510,797,20585,21578,24010,23657,21394,13867,9192,8194,8060,7502,6236,5593,4314,3559,2441,1319,722,41115,42705,49067,50060,42811,27714,20702,18891,17765,16345,13307,11943,9286,7597,5060,2829,1519
NGA,NIGERIA,,ENUGU,NG014,Oji-River,NG014014,1,True,88289,78982,167271,8971,8573,9542,9864,7428,5802,5662,5202,4703,4629,3959,3869,3043,3299,1935,1192,616,8568,8842,9650,9127,7251,5526,4470,4308,4081,3810,3194,2984,2122,2307,1298,971,473,17539,17415,19192,18991,14679,11328,10132,9510,8784,8439,7153,6853,5165,5606,3233,2163,1089
NGA,NIGERIA,,ENUGU,NG014,UDENU,NG014015,1,True,131233,126903,258136,14917,15224,16799,15757,11528,9217,8169,7818,6796,6262,4741,4474,3279,2798,1729,1179,546,15431,16053,16987,15918,12412,8832,7164,6383,6059,5458,4386,3635,2898,2296,1669,868,454,30348,31277,33786,31675,23940,18049,15333,14201,12855,11720,9127,8109,6177,5094,3398,2047,1000
NGA,NIGERIA,,ENUGU,NG014,UDI,NG014016,1,True,157113,151274,308387,16360,16681,18590,17962,13949,11242,9721,9485,8123,7848,6203,6542,4266,4323,2862,1922,1034,16360,17338,19339,18586,14895,11214,8686,7754,7387,6913,5670,5298,3736,3624,2263,1498,713,32720,34019,37929,36548,28844,22456,18407,17239,15510,14761,11873,11840,8002,7947,5125,3420,1747
NGA,NIGERIA,,ENUGU,NG014,Uzo-Uwani,NG014017,1,True,80170,79764,159934,9148,9618,10193,9711,6880,5440,5220,4762,4654,3883,2911,2372,1928,1654,871,593,332,9391,10017,10666,10338,7762,5405,4393,3829,3898,3339,2923,2266,1997,1556,1101,553,330,18539,19635,20859,20049,14642,10845,9613,8591,8552,7222,5834,4638,3925,3210,1972,1146,662
NGA,NIGERIA,,FEDERAL CAPITAL TERRITORY,NG015,ABAJI,NG015001,1,True,71603,70297,141900,12960,10835,9974,8593,6153,5575,4447,3607,2480,1793,1341,1181,825,825,501,246,267,12581,10355,8729,7352,5396,5171,4900,4704,3292,2439,1685,1178,842,693,451,349,180,25541,21190,18703,15945,11549,10746,9347,8311,5772,4232,3026,2359,1667,1518,952,595,447
NGA,NIGERIA,,FEDERAL CAPITAL TERRITORY,NG015,ABUJA MUNICIPAL,NG015002,1,True,1347926,1621481,2969407,210332,166258,156402,132046,152654,153027,117544,90746,57563,41789,22792,19323,9214,8298,4626,3203,2109,210578,157768,128930,115425,166438,220682,184390,153862,97593,81493,40885,35840,11432,9051,3215,2392,1507,420910,324026,285332,247471,319092,373709,301934,244608,155156,123282,63677,55163,20646,17349,7841,5595,3616
